         2956369 function calls (2901761 primitive calls) in 9.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.143    0.143 Writer.py:10(Writer)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        3    0.000    0.000    0.005    0.002 parser.py:195(parse_if)
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
        8    0.000    0.000    0.012    0.001 optimizer.py:23(optimize)
       21    0.000    0.000    0.000    0.000 {method 'replace' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
       16    0.000    0.000    0.000    0.000 utils.py:79(internalcode)
       21    0.000    0.000    0.000    0.000 collections.py:347(<genexpr>)
       23    0.000    0.000    0.000    0.000 {_struct.calcsize}
       21    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
       12    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 Alignment.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:343(_add_integer_aliases)
       31    0.000    0.000    0.000    0.000 compiler.py:853(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        8    0.000    0.000    0.066    0.008 environment.py:498(_generate)
        1    0.000    0.000    0.000    0.000 Color.py:1(<module>)
        8    0.000    0.000    0.000    0.000 environment.py:478(preprocess)
       16    0.000    0.000    0.000    0.000 defaults.py:43(<genexpr>)
        8    0.000    0.000    0.000    0.000 genericpath.py:52(getmtime)
        3    0.000    0.000    0.003    0.001 compiler.py:287(visit_If)
        1    0.000    0.000    0.000    0.000 machar.py:4(<module>)
        8    0.000    0.000    0.002    0.000 lexer.py:542(tokenize)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       31    0.000    0.000    0.000    0.000 compiler.py:451(indent)
        6    0.000    0.000    0.009    0.001 string.py:148(substitute)
       15    0.000    0.000    0.006    0.000 parser.py:604(<lambda>)
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 {dir}
       25    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
       31    0.000    0.000    0.000    0.000 compiler.py:455(outdent)
        3    0.000    0.000    0.002    0.001 compiler.py:1162(visit_If)
       16    0.000    0.000    0.000    0.000 _compat.py:80(encode_filename)
        8    0.000    0.000    0.000    0.000 core.py:7137(getdoc)
        1    0.000    0.000    0.000    0.000 compiler.py:364(CodeGenerator)
       20    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 utils.py:294(LRUCache)
       12    0.000    0.000    0.000    0.000 compiler.py:210(inner)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       32    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       24    0.000    0.000    0.000    0.000 {sys._getframe}
       33    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 Fill.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
       32    0.000    0.000    0.000    0.000 {iter}
       16    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 sre_parse.py:226(_class_escape)
       12    0.000    0.000    0.001    0.000 compiler.py:338(visit_For)
       15    0.000    0.000    0.000    0.000 sre_compile.py:52(fixup)
        6    0.000    0.000    0.003    0.000 compiler.py:294(inner_visit)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       19    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       10    0.000    0.000    0.012    0.001 lexer.py:412(<lambda>)
        8    0.000    0.000    0.000    0.000 core.py:7132(__init__)
        1    0.000    0.000    0.000    0.000 Format.py:1(<module>)
        5    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       13    0.000    0.000    0.000    0.000 numerictypes.py:182(english_capitalize)
       18    0.000    0.000    0.000    0.000 {hasattr}
       11    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        3    0.000    0.000    0.003    0.001 optimizer.py:35(visit_If)
       11    0.000    0.000    0.008    0.001 nodes.py:177(find)
        1    0.000    0.000    0.000    0.000 defchararray.py:1732(chararray)
        9    0.000    0.000    0.000    0.000 core.py:2436(getdoc)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
        8    0.000    0.000    0.000    0.000 lexer.py:354(close)
       12    0.000    0.000    0.000    0.000 compiler.py:208(<genexpr>)
        8    0.000    0.000    0.001    0.000 utils.py:145(open_if_exists)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 _compat.py:92(with_metaclass)
        2    0.000    0.000    0.000    0.000 utils.py:113(__call__)
        8    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        9    0.000    0.000    0.001    0.000 extras.py:239(__init__)
       24    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {zip}
        9    0.000    0.000    0.000    0.000 six.py:108(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:24(Parser)
       17    0.000    0.000    0.000    0.000 nodes.py:420(can_assign)
        8    0.000    0.000    0.003    0.000 environment.py:506(_compile)
        1    0.000    0.000    0.000    0.000 ntpath.py:398(normpath)
        1    0.000    0.000    0.000    0.000 Workbook.py:6(Workbook)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       21    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        8    0.000    0.000    0.000    0.000 compiler.py:233(__init__)
       25    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
       20    0.000    0.000    0.000    0.000 compiler.py:274(__init__)
        3    0.000    0.000    0.000    0.000 utils.py:307(_postinit)
       24    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        9    0.000    0.000    0.000    0.000 core.py:2430(__init__)
        3    0.000    0.000    0.000    0.000 utils.py:301(__init__)
        5    0.000    0.000    0.000    0.000 nodes.py:477(can_assign)
        3    0.000    0.000    0.000    0.000 compiler.py:184(copy)
        1    0.000    0.000    0.000    0.000 environment.py:238(__init__)
        3    0.000    0.000    0.003    0.001 compiler.py:134(copy)
       17    0.000    0.000    0.000    0.000 nodes.py:722(<genexpr>)
        1    0.000    0.000    0.001    0.001 tests.py:10(<module>)
       21    0.000    0.000    0.000    0.000 copy.py:198(_deepcopy_atomic)
        1    0.000    0.000    0.000    0.000 runtime.py:90(Context)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:242(__init__)
        8    0.000    0.000    0.000    0.000 {method 'getvalue' of 'cStringIO.StringO' objects}
        2    0.000    0.000    0.000    0.000 utils.py:157(deprecate)
       21    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        6    0.000    0.000    0.000    0.000 runtime.py:208(_all)
        1    0.000    0.000    0.000    0.000 numerictypes.py:384(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 _methods.py:4(<module>)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
        6    0.000    0.000    0.000    0.000 _compat.py:73(implements_to_string)
        1    0.000    0.000    0.000    0.000 compiler.py:1380(visit_Const)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 app.xml:1(<module>)
        4    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 Style.py:5(Style)
        4    0.000    0.000    0.000    0.000 core.py:90(doc_note)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 Border.py:4(Border)
       17    0.000    0.000    0.000    0.000 {locals}
        1    0.000    0.000    0.000    0.000 defmatrix.py:195(matrix)
        1    0.000    0.000    0.000    0.000 styles.xml:1(<module>)
        1    0.000    0.000    0.000    0.000 Utility.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {cPickle.dumps}
        1    0.000    0.000    0.000    0.000 DataTypes.py:9(DataTypes)
        1    0.000    0.000    0.000    0.000 workbook.xml:1(<module>)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       15    0.000    0.000    0.000    0.000 compiler.py:529(<genexpr>)
        1    0.000    0.000    0.000    0.000 sheet.xml:1(<module>)
        1    0.000    0.000    0.000    0.000 lexer.py:189(compile_rules)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.000    0.000 environment.py:850(Template)
        1    0.000    0.000    0.000    0.000 _iotools.py:456(StringConverter)
        3    0.000    0.000    0.000    0.000 os.py:444(get)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 Borders.py:5(Borders)
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {_ctypes.LoadLibrary}
        1    0.000    0.000    0.000    0.000 workbook.xml.rels:1(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        8    0.000    0.000    0.000    0.000 optimizer.py:32(__init__)
        5    0.000    0.000    0.000    0.000 _compat.py:68(implements_iterator)
        1    0.000    0.000    0.000    0.000 core.xml:1(<module>)
        1    0.000    0.000    0.000    0.000 Alignment.py:5(Alignment)
        1    0.000    0.000    0.000    0.000 [Content_Types].xml:1(<module>)
        3    0.000    0.000    0.000    0.000 nodes.py:703(as_const)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        2    0.000    0.000    0.000    0.000 getlimits.py:267(max)
       11    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {function seed at 0x00000000037DC048}
        1    0.000    0.000    0.000    0.000 financial.py:8(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:705(ZipFile)
       10    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        8    0.000    0.000    0.000    0.000 {cStringIO.StringIO}
        8    0.000    0.000    0.000    0.000 {_functools.reduce}
        1    0.000    0.000    0.000    0.000 _native.py:10(<module>)
        2    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
       11    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 urllib.py:116(URLopener)
        1    0.000    0.000    0.000    0.000 Workbook.py:11(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 Worksheet.py:8(Worksheet)
        1    0.000    0.000    0.000    0.000 runtime.py:441(Undefined)
        8    0.000    0.000    0.000    0.000 environment.py:843(make_globals)
        1    0.000    0.000    0.000    0.000 lexer.py:225(Token)
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        3    0.000    0.000    0.000    0.000 index_tricks.py:228(__init__)
        1    0.000    0.000    0.000    0.000 Font.py:5(Font)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 .rels:1(<module>)
        8    0.000    0.000    0.000    0.000 compiler.py:848(<genexpr>)
        1    0.000    0.000    0.000    0.000 arraypad.py:4(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 runtime.py:280(LoopContext)
        1    0.000    0.000    0.000    0.000 six.py:83(__get__)
        1    0.000    0.000    0.000    0.000 _iotools.py:236(NameValidator)
        8    0.000    0.000    0.000    0.000 filters.py:46(environmentfilter)
        1    0.000    0.000    0.000    0.000 _internal.py:219(_ctypes)
        1    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        3    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
        1    0.000    0.000    0.002    0.002 zipfile.py:501(ZipExtFile)
        1    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 Workbook.py:21(new_sheet)
        1    0.000    0.000    0.000    0.000 core.py:2252(_MaskedPrintOption)
        8    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
        7    0.000    0.000    0.000    0.000 case.py:609(_deprecate)
        3    0.000    0.000    0.000    0.000 compiler.py:214(soft)
        1    0.000    0.000    0.000    0.000 polynomial.py:928(poly1d)
        1    0.000    0.000    1.512    1.512 Workbook.py:84(save)
        4    0.000    0.000    0.000    0.000 lexer.py:228(<genexpr>)
        1    0.000    0.000    0.000    0.000 socket.py:235(_fileobject)
        1    0.000    0.000    0.000    0.000 difflib.py:46(SequenceMatcher)
        3    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ssl.py:100(SSLSocket)
        2    0.000    0.000    0.000    0.000 _compat.py:105(__new__)
        1    0.000    0.000    0.000    0.000 urllib.py:610(FancyURLopener)
        1    0.000    0.000    0.002    0.002 zipfile.py:420(_ZipDecrypter)
        2    0.000    0.000    0.000    0.000 numeric.py:1473(set_string_function)
        1    0.000    0.000    0.000    0.000 warnings.py:74(simplefilter)
        1    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        3    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 ufunclike.py:4(<module>)
        1    0.000    0.000    0.000    0.000 Fill.py:4(Fill)
        1    0.000    0.000    0.000    0.000 lexer.py:289(TokenStream)
        4    0.000    0.000    0.000    0.000 six.py:67(_add_doc)
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 __init__.py:432(__getattr__)
        1    0.000    0.000    0.000    0.000 {nt._getfullpathname}
        1    0.000    0.000    0.000    0.000 Format.py:4(Format)
        1    0.000    0.000    0.000    0.000 loader.py:38(TestLoader)
        1    0.000    0.000    0.000    0.000 nodes.py:107(Node)
        5    0.000    0.000    0.000    0.000 filters.py:27(contextfilter)
        1    0.000    0.000    0.000    0.000 core.py:5697(MaskedConstant)
        1    0.000    0.000    0.000    0.000 ntpath.py:466(abspath)
        1    0.000    0.000    0.000    0.000 six.py:126(_resolve)
        6    0.000    0.000    0.000    0.000 core.py:768(__init__)
        1    0.000    0.000    0.000    0.000 Worksheet.py:9(__init__)
        1    0.000    0.000    0.000    0.000 loaders.py:312(PrefixLoader)
        1    0.000    0.000    0.000    0.000 utf_8.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 Color.py:1(Color)
        2    0.000    0.000    0.000    0.000 {numpy.core.multiarray.set_string_function}
        1    0.000    0.000    0.000    0.000 getlimits.py:192(iinfo)
        1    0.000    0.000    0.000    0.000 utils.py:479(Cycler)
        1    0.000    0.000    0.000    0.000 utils.py:1424(__enter__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 compiler.py:1482(visit_Operand)
        1    0.000    0.000    0.000    0.000 extras.py:1427(__init__)
        1    0.000    0.000    0.000    0.000 runner.py:28(TextTestResult)
        1    0.000    0.000    0.000    0.000 compiler.py:1477(visit_Compare)
        1    0.000    0.000    0.000    0.000 difflib.py:1672(HtmlDiff)
        1    0.000    0.000    0.000    0.000 utils.py:1416(__init__)
        1    0.000    0.000    0.000    0.000 loaders.py:411(ModuleLoader)
        1    0.000    0.000    1.512    1.512 Workbook.py:80(_save)
        4    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:21(Arrayterator)
        1    0.000    0.000    0.000    0.000 urlparse.py:73(ResultMixin)
        1    0.000    0.000    0.000    0.000 filters.py:705(_GroupTuple)
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 os.py:419(__setitem__)
        1    0.000    0.000    0.000    0.000 npyio.py:126(NpzFile)
        1    0.000    0.000    0.000    0.000 optimizer.py:30(Optimizer)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 loaders.py:153(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:988(SafeEval)
        3    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        4    0.000    0.000    0.000    0.000 filters.py:35(evalcontextfilter)
        1    0.000    0.000    0.000    0.000 six.py:72(_import_module)
        1    0.000    0.000    0.000    0.000 loaders.py:37(BaseLoader)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 exceptions.py:14(TemplateError)
        2    0.000    0.000    0.000    0.000 utils.py:108(__init__)
        1    0.000    0.000    0.000    0.000 environment.py:1107(TemplateStream)
        1    0.000    0.000    0.000    0.000 urllib.py:851(ftpwrapper)
        1    0.000    0.000    0.000    0.000 extras.py:1497(__init__)
        3    0.000    0.000    0.000    0.000 {method 'symmetric_difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 environment.py:1062(TemplateModule)
        1    0.000    0.000    0.000    0.000 lexer.py:318(look)
        1    0.000    0.000    0.000    0.000 getlimits.py:22(finfo)
        4    0.000    0.000    0.000    0.000 core.py:2443(__get__)
        1    0.000    0.000    0.000    0.000 core.py:5703(__new__)
        1    0.000    0.000    0.000    0.000 bccache.py:109(BytecodeCache)
        1    0.000    0.000    0.000    0.000 numeric.py:2571(_setdef)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.000    0.000    0.000    0.000 environment.py:90(_environment_sanity_check)
        1    0.000    0.000    0.000    0.000 {time.clock}
        1    0.000    0.000    0.000    0.000 runtime.py:253(BlockReference)
        4    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 index_tricks.py:431(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5507(mvoid)
        1    0.000    0.000    0.000    0.000 collections.py:381(Counter)
        3    0.000    0.000    0.000    0.000 core.py:736(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:82(nd_grid)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 loaders.py:260(DictLoader)
        1    0.000    0.000    0.000    0.000 _datasource.py:148(DataSource)
        2    0.000    0.000    0.000    0.000 lexer.py:217(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:153(_ndptr)
        1    0.000    0.000    0.000    0.000 nodes.py:350(Expr)
        1    0.000    0.000    0.000    0.000 nosetester.py:85(NoseTester)
        1    0.000    0.000    0.000    0.000 loaders.py:366(ChoiceLoader)
        1    0.000    0.000    0.000    0.000 _import_tools.py:6(PackageLoader)
        1    0.000    0.000    0.000    0.000 lexer.py:314(push)
        1    0.000    0.000    0.000    0.000 index_tricks.py:453(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:145(LineSplitter)
        1    0.000    0.000    0.000    0.000 weakref.py:243(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:167(_closedsocket)
        1    0.000    0.000    0.000    0.000 index_tricks.py:505(ndindex)
        3    0.000    0.000    0.000    0.000 compiler.py:1437(uaop)
        1    0.000    0.000    0.000    0.000 utils.py:1440(__exit__)
        1    0.000    0.000    0.000    0.000 environment.py:60(create_cache)
        1    0.000    0.000    0.000    0.000 tempfile.py:368(_TemporaryFileWrapper)
        1    0.000    0.000    0.000    0.000 case.py:1018(FunctionTestCase)
        2    0.000    0.000    0.000    0.000 sre_parse.py:129(__delitem__)
        1    0.000    0.000    0.000    0.000 main.py:63(TestProgram)
        3    0.000    0.000    0.000    0.000 _inspect.py:159(<lambda>)
        1    0.000    0.000    0.000    0.000 random.py:91(__init__)
        1    0.000    0.000    0.000    0.000 zipfile.py:262(ZipInfo)
        1    0.000    0.000    0.000    0.000 core.py:5876(__init__)
        1    0.000    0.000    0.000    0.000 random.py:649(WichmannHill)
        1    0.000    0.000    0.000    0.000 compiler.py:138(Frame)
        1    0.000    0.000    0.000    0.000 pprint.py:84(PrettyPrinter)
        2    0.000    0.000    0.000    0.000 utils.py:93(_set_function_name)
        1    0.000    0.000    0.000    0.000 __init__.py:419(OleDLL)
        2    0.000    0.000    0.000    0.000 index_tricks.py:142(__init__)
        1    0.000    0.000    0.000    0.000 runtime.py:377(Macro)
        1    0.000    0.000    0.000    0.000 _datasource.py:482(Repository)
        2    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.000    0.000    0.000    0.000 index_tricks.py:210(AxisConcatenator)
        1    0.000    0.000    0.000    0.000 compiler.py:230(DependencyFinderVisitor)
        1    0.000    0.000    0.000    0.000 loaders.py:195(PackageLoader)
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 compiler.py:271(FrameIdentifierVisitor)
        1    0.000    0.000    0.000    0.000 lexer.py:402(Lexer)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 records.py:214(record)
        1    0.000    0.000    0.000    0.000 string.py:131(__init__)
        1    0.000    0.000    0.000    0.000 nodes.py:466(Tuple)
        1    0.000    0.000    0.000    0.000 core.py:5864(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        1    0.000    0.000    0.000    0.000 arrayprint.py:655(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 bccache.py:57(Bucket)
        1    0.000    0.000    0.000    0.000 __init__.py:211(_MarkupEscapeHelper)
        1    0.000    0.000    0.000    0.000 utils.py:1394(WarningManager)
        1    0.000    0.000    0.000    0.000 visitor.py:14(NodeVisitor)
        1    0.000    0.000    0.000    0.000 machar.py:15(MachAr)
        1    0.000    0.000    0.000    0.000 extras.py:222(_fromnxfunction)
        1    0.000    0.000    0.000    0.000 {_ctypes.set_conversion_mode}
        1    0.000    0.000    0.000    0.000 random.py:799(SystemRandom)
        1    0.000    0.000    0.000    0.000 Writer.py:27(__init__)
        1    0.000    0.000    0.000    0.000 nodes.py:430(Const)
        1    0.000    0.000    0.000    0.000 runner.py:119(TextTestRunner)
        1    0.000    0.000    0.000    0.000 nturl2path.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:284(recarray)
        1    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
        2    0.000    0.000    0.000    0.000 index_tricks.py:643(__init__)
        1    0.000    0.000    0.000    0.000 memmap.py:20(memmap)
        1    0.000    0.000    0.000    0.000 bccache.py:187(FileSystemBytecodeCache)
        1    0.000    0.000    0.000    0.000 difflib.py:766(Differ)
        1    0.000    0.000    0.000    0.000 core.py:2401(_arraymethod)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        3    0.000    0.000    0.000    0.000 core.py:783(__init__)
        1    0.000    0.000    0.000    0.000 compiler.py:101(Identifiers)
        1    0.000    0.000    0.000    0.000 runtime.py:553(StrictUndefined)
        1    0.000    0.000    0.000    0.000 core.py:886(_MaskedBinaryOperation)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        1    0.000    0.000    0.000    0.000 records.py:83(format_parser)
        1    0.000    0.000    0.000    0.000 six.py:54(__len__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:523(FloatFormat)
        1    0.000    0.000    0.000    0.000 runtime.py:356(LoopContextIterator)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 {delattr}
        1    0.000    0.000    0.000    0.000 core.py:750(_DomainTan)
        1    0.000    0.000    0.000    0.000 nodes.py:76(EvalContext)
        1    0.000    0.000    0.000    0.000 visitor.py:47(NodeTransformer)
        1    0.000    0.000    0.000    0.000 _internal.py:212(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 version.py:3(<module>)
        1    0.000    0.000    0.000    0.000 nodes.py:453(TemplateData)
        1    0.000    0.000    0.000    0.000 info.py:175(<module>)
        1    0.000    0.000    0.000    0.000 compiler.py:43(unoptimize_before_dead_code)
        1    0.000    0.000    0.000    0.000 extras.py:1415(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 signals.py:9(_InterruptHandler)
        1    0.000    0.000    0.000    0.000 _datasource.py:47(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _compat.py:102(metaclass)
        1    0.000    0.000    0.000    0.000 function_base.py:1706(vectorize)
        1    0.000    0.000    0.000    0.000 nodes.py:372(BinExpr)
        1    0.000    0.000    0.000    0.000 urllib.py:946(addbase)
        1    0.000    0.000    0.000    0.000 utils.py:505(Joiner)
        1    0.000    0.000    0.000    0.000 suite.py:252(_ErrorHolder)
        1    0.000    0.000    0.000    0.000 nodes.py:825(InternalName)
        2    0.000    0.000    0.000    0.000 parser.py:752(ensure)
        1    0.000    0.000    0.000    0.000 numeric.py:2497(errstate)
        1    0.000    0.000    0.000    0.000 _datasource.py:70(__init__)
        1    0.000    0.000    0.000    0.000 lexer.py:212(Failure)
        1    0.000    0.000    0.000    0.000 nodes.py:391(UnaryExpr)
        2    0.000    0.000    0.000    0.000 sre_parse.py:214(isdigit)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:97(_Deprecate)
        1    0.000    0.000    0.000    0.000 core.py:2471(MaskedIterator)
        1    0.000    0.000    0.000    0.000 index_tricks.py:458(ndenumerate)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 Range.py:60(AttributeInterceptor)
        1    0.000    0.000    0.000    0.000 nodes.py:633(Getitem)
        1    0.000    0.000    0.000    0.000 urllib.py:1000(addinfourl)
        1    0.000    0.000    0.000    0.000 {numpy.core.multiarray.set_typeDict}
        1    0.000    0.000    0.000    0.000 arrayprint.py:635(IntegerFormat)
        1    0.000    0.000    0.000    0.000 loaders.py:282(FunctionLoader)
        1    0.000    0.000    0.000    0.000 exceptions.py:44(TemplateNotFound)
        1    0.000    0.000    0.000    0.000 core.py:1032(_DomainedBinaryOperation)
        1    0.000    0.000    0.000    0.000 nodes.py:316(Include)
        1    0.000    0.000    0.000    0.000 nodes.py:651(Getattr)
