         2956369 function calls (2901761 primitive calls) in 9.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.055    0.055 __init__.py:28(<module>)
      485    0.001    0.000    0.002    0.000 urlparse.py:331(<genexpr>)
        1    0.001    0.001    0.007    0.007 index_tricks.py:1(<module>)
      485    0.001    0.000    0.002    0.000 urllib.py:1200(<genexpr>)
        2    0.001    0.001    0.002    0.001 __init__.py:10(<module>)
        9    0.001    0.000    0.001    0.000 {open}
    81/35    0.001    0.000    0.021    0.001 sre_parse.py:302(_parse_sub)
        1    0.001    0.001    0.002    0.002 zipfile.py:433(_GenerateCRCTable)
      406    0.001    0.000    0.002    0.000 lexer.py:240(test)
        1    0.001    0.001    0.014    0.014 __init__.py:6(<module>)
      722    0.001    0.000    0.001    0.000 {method 'write' of 'cStringIO.StringO' objects}
      335    0.001    0.000    0.022    0.000 lexer.py:342(__next__)
        1    0.001    0.001    0.002    0.002 six.py:1(<module>)
        1    0.001    0.001    0.002    0.002 collections.py:1(<module>)
        1    0.001    0.001    0.005    0.005 ctypeslib.py:51(<module>)
        2    0.001    0.001    0.003    0.002 function_base.py:1(<module>)
        1    0.001    0.001    0.004    0.004 core.py:21(<module>)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
       38    0.001    0.000    0.004    0.000 compiler.py:1212(visit_Output)
        1    0.001    0.001    0.032    0.032 nodes.py:14(<module>)
     23/8    0.001    0.000    0.036    0.004 parser.py:843(subparse)
      490    0.001    0.000    0.002    0.000 sre_parse.py:196(match)
        1    0.001    0.001    0.002    0.002 defmatrix.py:1(<module>)
        1    0.001    0.001    0.068    0.068 add_newdocs.py:9(<module>)
        1    0.001    0.001    0.006    0.006 urlparse.py:29(<module>)
      410    0.001    0.000    0.001    0.000 sre_parse.py:127(__len__)
      371    0.001    0.000    0.001    0.000 sre_parse.py:139(append)
        1    0.001    0.001    0.002    0.002 _datasource.py:33(<module>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:44(<module>)
      144    0.001    0.000    0.001    0.000 sre_parse.py:258(_escape)
     75/3    0.001    0.000    0.003    0.001 copy.py:145(deepcopy)
        1    0.001    0.001    0.004    0.004 defaults.py:10(<module>)
      668    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       35    0.001    0.000    0.005    0.000 sre_compile.py:362(_compile_info)
        1    0.001    0.001    0.001    0.001 utils.py:3(<module>)
      482    0.001    0.000    0.001    0.000 {method 'count' of 'unicode' objects}
      229    0.001    0.000    0.007    0.000 {method 'extend' of 'collections.deque' objects}
      164    0.001    0.000    0.003    0.000 compiler.py:507(writeline)
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
        1    0.001    0.001    0.001    0.001 decorators.py:15(<module>)
        1    0.001    0.001    0.002    0.002 filters.py:10(<module>)
        1    0.001    0.001    0.002    0.002 random.py:40(<module>)
        1    0.001    0.001    0.001    0.001 runtime.py:10(<module>)
      514    0.001    0.000    0.001    0.000 {min}
        8    0.001    0.000    0.007    0.001 nodes.py:219(set_environment)
        1    0.001    0.001    0.006    0.006 _internal.py:4(<module>)
        1    0.001    0.001    0.003    0.003 util.py:1(<module>)
        1    0.001    0.001    0.003    0.003 numerictypes.py:82(<module>)
        1    0.001    0.001    0.004    0.004 result.py:1(<module>)
        9    0.001    0.000    0.001    0.000 sre_compile.py:259(_mk_bitmap)
        1    0.001    0.001    0.354    0.354 Workbook.py:1(<module>)
        1    0.001    0.001    0.001    0.001 arrayprint.py:4(<module>)
        1    0.001    0.001    0.037    0.037 type_check.py:3(<module>)
        8    0.001    0.000    0.065    0.008 compiler.py:757(visit_Template)
    12/11    0.001    0.000    0.017    0.002 compiler.py:1036(visit_For)
        1    0.001    0.001    0.001    0.001 Style.py:1(<module>)
        1    0.001    0.001    0.002    0.002 arraysetops.py:25(<module>)
        3    0.001    0.000    0.001    0.000 {__import__}
       42    0.001    0.000    0.041    0.001 re.py:226(_compile)
       54    0.001    0.000    0.003    0.000 sre_compile.py:179(_compile_charset)
        1    0.001    0.001    0.001    0.001 arrayterator.py:9(<module>)
        1    0.001    0.001    0.001    0.001 loader.py:1(<module>)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
  171/145    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      266    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      177    0.001    0.000    0.001    0.000 compiler.py:512(newline)
        3    0.001    0.000    0.001    0.000 numeric.py:207(extend_all)
       31    0.001    0.000    0.001    0.000 _inspect.py:157(formatargspec)
      229    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 loaders.py:10(<module>)
      420    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      391    0.000    0.000    0.000    0.000 {intern}
      293    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      433    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.001    0.001 Font.py:1(<module>)
    69/62    0.000    0.000    0.001    0.000 nodes.py:657(as_const)
        1    0.000    0.000    0.003    0.003 polynomial.py:3(<module>)
       38    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
        1    0.000    0.000    0.001    0.001 compiler.py:10(<module>)
        8    0.000    0.000    0.000    0.000 {nt.stat}
      111    0.000    0.000    0.008    0.000 lexer.py:360(expect)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
       35    0.000    0.000    0.041    0.001 sre_compile.py:496(compile)
      164    0.000    0.000    0.001    0.000 lexer.py:331(next_if)
      164    0.000    0.000    0.002    0.000 lexer.py:338(skip_if)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
       35    0.000    0.000    0.022    0.001 sre_parse.py:676(parse)
       46    0.000    0.000    0.017    0.000 parser.py:578(parse_tuple)
       53    0.000    0.000    0.005    0.000 parser.py:544(parse_primary)
      266    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        8    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.001    0.001 bccache.py:16(<module>)
    48/28    0.000    0.000    0.005    0.000 optimizer.py:54(fold)
      224    0.000    0.000    0.000    0.000 sre_parse.py:91(__init__)
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
      145    0.000    0.000    0.000    0.000 collections.py:323(<genexpr>)
      278    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       40    0.000    0.000    0.001    0.000 _inspect.py:118(getargspec)
      249    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.010    0.010 lexer.py:16(<module>)
       69    0.000    0.000    0.001    0.000 sre_compile.py:355(_simple)
        1    0.000    0.000    0.144    0.144 Worksheet.py:1(<module>)
      293    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.004    0.004 zipfile.py:3(<module>)
        1    0.000    0.000    0.000    0.000 optimizer.py:18(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2(<module>)
      119    0.000    0.000    0.000    0.000 _compat.py:57(<lambda>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:10(<module>)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Borders.py:1(<module>)
       75    0.000    0.000    0.000    0.000 copy.py:267(_keep_alive)
    35/34    0.000    0.000    0.012    0.000 parser.py:426(parse_compare)
       51    0.000    0.000    0.000    0.000 re.py:204(escape)
      145    0.000    0.000    0.000    0.000 nodes.py:97(get_eval_context)
    11/10    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       98    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
    12/11    0.000    0.000    0.024    0.002 parser.py:176(parse_for)
       52    0.000    0.000    0.001    0.000 compiler.py:1374(visit_Name)
    36/35    0.000    0.000    0.010    0.000 parser.py:528(parse_unary)
       38    0.000    0.000    0.001    0.000 parser.py:851(flush_data)
       32    0.000    0.000    0.010    0.000 compiler.py:88(find_undeclared)
       35    0.000    0.000    0.018    0.001 sre_compile.py:481(_code)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
      187    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 numerictypes.py:302(_add_aliases)
      230    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
    35/34    0.000    0.000    0.013    0.000 parser.py:420(parse_not)
       26    0.000    0.000    0.004    0.000 parser.py:688(parse_subscript)
       16    0.000    0.000    0.000    0.000 utils.py:336(get)
      207    0.000    0.000    0.000    0.000 {id}
       20    0.000    0.000    0.010    0.000 compiler.py:192(inspect)
       71    0.000    0.000    0.000    0.000 compiler.py:259(visit_Name)
       80    0.000    0.000    0.000    0.000 {repr}
      102    0.000    0.000    0.000    0.000 lexer.py:308(__bool__)
     18/3    0.000    0.000    0.002    0.001 copy.py:306(_reconstruct)
       52    0.000    0.000    0.000    0.000 compiler.py:277(visit_Name)
        8    0.000    0.000    0.139    0.017 environment.py:514(compile)
       19    0.000    0.000    0.001    0.000 nosetester.py:137(__init__)
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
       21    0.000    0.000    0.000    0.000 ntpath.py:164(split)
       18    0.000    0.000    0.001    0.000 copy.py:234(_deepcopy_tuple)
    26/25    0.000    0.000    0.001    0.000 compiler.py:1486(visit_Getattr)
       26    0.000    0.000    0.000    0.000 numerictypes.py:230(bitname)
       70    0.000    0.000    0.000    0.000 sre_compile.py:475(isstring)
        8    0.000    0.000    0.003    0.000 loaders.py:159(get_source)
       20    0.000    0.000    0.000    0.000 compiler.py:141(__init__)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:306(prep_simple)
       23    0.000    0.000    0.002    0.000 core.py:5932(getdoc)
    36/35    0.000    0.000    0.007    0.000 parser.py:660(parse_postfix)
       21    0.000    0.000    0.001    0.000 {all}
       40    0.000    0.000    0.002    0.000 core.py:107(get_object_signature)
    35/34    0.000    0.000    0.013    0.000 parser.py:411(parse_and)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
       59    0.000    0.000    0.000    0.000 nodes.py:81(__init__)
    36/35    0.000    0.000    0.011    0.000 parser.py:468(parse_concat)
       69    0.000    0.000    0.000    0.000 sre_parse.py:135(__setitem__)
       27    0.000    0.000    0.000    0.000 core.py:821(__init__)
       39    0.000    0.000    0.000    0.000 numerictypes.py:155(english_upper)
     23/8    0.000    0.000    0.020    0.003 compiler.py:477(blockvisit)
      139    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       72    0.000    0.000    0.000    0.000 numerictypes.py:128(english_lower)
       13    0.000    0.000    0.000    0.000 sre_parse.py:217(isname)
    35/34    0.000    0.000    0.014    0.000 parser.py:402(parse_or)
       15    0.000    0.000    0.003    0.000 parser.py:745(parse_call)
       27    0.000    0.000    0.000    0.000 {sorted}
       28    0.000    0.000    0.001    0.000 nodes.py:600(as_const)
       51    0.000    0.000    0.000    0.000 parser.py:98(is_tuple_end)
        8    0.000    0.000    0.000    0.000 Fill.py:16(is_default)
        1    0.000    0.000    0.000    0.000 parser.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:110(_add2path)
        9    0.000    0.000    0.000    0.000 compiler.py:1421(binop)
       24    0.000    0.000    0.000    0.000 environment.py:370(iter_extensions)
       46    0.000    0.000    0.000    0.000 lexer.py:253(test_any)
    15/13    0.000    0.000    0.028    0.002 parser.py:113(parse_statement)
       45    0.000    0.000    0.001    0.000 lexer.py:538(_normalize_newlines)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
        8    0.000    0.000    0.008    0.001 compiler.py:577(pull_dependencies)
      137    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
      123    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       45    0.000    0.000    0.000    0.000 nodes.py:457(as_const)
       94    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      113    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
    36/35    0.000    0.000    0.011    0.000 parser.py:458(parse_sub)
    36/35    0.000    0.000    0.011    0.000 parser.py:478(parse_mul)
       35    0.000    0.000    0.000    0.000 sre_parse.py:179(__init__)
    85/68    0.000    0.000    0.001    0.000 {issubclass}
       70    0.000    0.000    0.000    0.000 nodes.py:354(as_const)
        8    0.000    0.000    0.143    0.018 environment.py:756(_load_template)
       42    0.000    0.000    0.042    0.001 re.py:188(compile)
    36/35    0.000    0.000    0.010    0.000 parser.py:518(parse_pow)
        1    0.000    0.000    0.000    0.000 suite.py:78(TestSuite)
    36/35    0.000    0.000    0.010    0.000 parser.py:508(parse_mod)
        5    0.000    0.000    0.000    0.000 abc.py:86(__new__)
       12    0.000    0.000    0.000    0.000 compiler.py:624(pop_scope)
       35    0.000    0.000    0.000    0.000 {_sre.compile}
      124    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
    36/35    0.000    0.000    0.011    0.000 parser.py:448(parse_add)
    36/35    0.000    0.000    0.011    0.000 parser.py:498(parse_floordiv)
       15    0.000    0.000    0.001    0.000 compiler.py:1566(visit_Call)
       12    0.000    0.000    0.001    0.000 compiler.py:602(push_scope)
        1    0.000    0.000    0.000    0.000 numerictypes.py:286(_add_types)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       12    0.000    0.000    0.001    0.000 nodes.py:194(set_ctx)
    36/35    0.000    0.000    0.011    0.000 parser.py:488(parse_div)
        1    0.000    0.000    0.000    0.000 {nt.urandom}
        1    0.000    0.000    0.000    0.000 tempfile.py:497(SpooledTemporaryFile)
       98    0.000    0.000    0.000    0.000 sre_parse.py:211(isident)
        1    0.000    0.000    0.000    0.000 nodes.py:772(Or)
       32    0.000    0.000    0.000    0.000 sre_parse.py:73(opengroup)
       30    0.000    0.000    0.000    0.000 numerictypes.py:448(_add_array_type)
    15/13    0.000    0.000    0.015    0.001 parser.py:141(parse_statements)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        8    0.000    0.000    0.143    0.018 loaders.py:99(load)
